,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
0,93,115,1.0,116,102,1.0,R01,2005,102,0.0,0.0,1
1,85,103,1.0,105,112,1.0,R01,2005,112,0.0,0.0,1
2,57,105,1.0,103,111,1.0,R01,2005,111,0.0,0.0,1
3,53,113,1.0,88,106,1.0,R01,2005,106,0.0,0.0,1
4,55,110,1.0,118,116,1.0,R01,2005,116,0.0,0.0,1
5,160,107,1.0,98,114,1.0,R01,2005,107,0.0,0.0,0
6,64,117,1.0,53,101,1.0,R01,2005,117,0.0,0.0,0
7,112,118,1.0,80,104,1.0,R01,2005,118,0.0,0.0,0
0,106,105,0.553398058252,110,103,0.809523809524,R02,2005,103,0.0,0.0,1
1,137,111,1.80701754386,111,118,1.4,R02,2005,111,0.0,0.0,0
2,59,116,2.14545454545,82,112,1.23529411765,R02,2005,112,0.0,0.0,1
3,62,107,1.63265306122,84,117,1.20754716981,R02,2005,117,0.0,0.0,1
4,73,102,1.24731182796,75,113,0.602272727273,R02,2005,113,0.0,0.0,1
5,58,106,1.66037735849,59,115,0.801724137931,R02,2005,115,0.0,0.0,1
6,81,101,0.828125,75,104,0.714285714286,R02,2005,101,0.0,0.0,0
7,103,114,0.6125,89,110,0.466101694915,R02,2005,114,0.0,0.0,0
0,66,107,1.21978021978,114,111,1.42857142857,R03,2005,111,0.0,0.0,1
1,100,112,1.29861111111,93,115,0.873563218391,R03,2005,112,0.0,0.0,0
2,128,104,0.80310880829,108,103,0.924170616114,R03,2005,104,0.0,0.0,0
3,88,117,1.28695652174,80,106,1.30357142857,R03,2005,117,0.0,0.0,0
4,87,116,1.29197080292,81,102,1.125,R03,2005,116,0.0,0.0,0
5,56,113,0.795031055901,124,101,0.964028776978,R03,2005,101,0.0,0.0,1
6,75,110,0.651583710407,77,105,0.765258215962,R03,2005,105,0.0,0.0,1
7,88,114,0.807228915663,84,118,1.02764976959,R03,2005,114,0.0,0.0,0
0,90,104,0.940199335548,93,112,1.21097046414,R04,2005,112,0.0,0.0,1
1,107,118,1.00655737705,143,117,1.21025641026,R04,2005,117,0.0,0.0,1
2,69,102,1.05882352941,115,110,0.734899328859,R04,2005,110,0.0,0.0,1
3,109,103,0.893805309735,109,113,0.645614035088,R04,2005,100,0.0,0.0,0
4,75,105,0.833333333333,131,107,0.972972972973,R04,2005,107,0.0,0.0,1
5,120,101,1.32307692308,79,116,1.21100917431,R04,2005,101,0.0,0.0,0
6,104,111,1.51282051282,151,115,0.894160583942,R04,2005,115,0.0,0.0,1
7,52,106,1.13,100,114,0.867867867868,R04,2005,114,0.0,0.0,1
0,99,107,1.12938005391,95,113,0.743654822335,R05,2005,107,0.0,0.0,0
1,84,103,0.919642857143,103,106,0.926666666667,R05,2005,106,0.0,0.0,1
2,89,110,0.910081743869,108,112,1.1620795107,R05,2005,112,0.0,0.0,1
3,94,111,1.18961038961,60,116,1.01479289941,R05,2005,111,0.0,0.0,0
4,109,101,1.3795620438,140,118,0.924107142857,R05,2005,118,0.0,0.0,1
5,157,117,1.25496688742,84,102,0.916216216216,R05,2005,117,0.0,0.0,0
6,79,114,1.01038961039,147,115,1.04761904762,R05,2005,115,0.0,0.0,1
7,69,104,0.946700507614,83,105,0.751789976134,R05,2005,105,0.0,0.0,1
0,83,110,0.890526315789,89,103,0.900181488203,R06,2005,103,0.0,0.0,1
1,64,112,1.17307692308,74,101,1.17632850242,R06,2005,101,0.0,0.0,1
2,143,106,0.9921875,129,111,1.2404494382,R06,2005,106,0.0,0.0,0
3,59,116,0.93287037037,104,117,1.38860103627,R06,2005,117,0.0,0.0,1
4,136,102,0.80265654649,88,105,0.815573770492,R06,2005,102,0.0,0.0,0
5,73,118,0.994614003591,108,107,1.11158798283,R06,2005,107,0.0,0.0,1
6,109,115,1.18818380744,71,104,0.926624737945,R06,2005,115,0.0,0.0,0
7,67,113,0.787018255578,123,114,0.87969924812,R06,2005,114,0.0,0.0,1
0,54,101,1.17364016736,78,111,1.15816326531,R07,2005,111,0.0,0.0,1
1,66,103,0.922712933754,151,114,0.986644407346,R07,2005,114,0.0,0.0,1
2,101,115,1.23484848485,119,107,1.16141001855,R07,2005,107,0.0,0.0,1
3,110,118,0.942857142857,87,102,0.908943089431,R07,2005,118,0.0,0.0,0
4,88,105,0.778846153846,94,116,0.861940298507,R07,2005,116,0.0,0.0,1
5,96,117,1.43820224719,77,110,0.897163120567,R07,2005,117,0.0,0.0,0
6,72,112,1.12653061224,119,113,0.738636363636,R07,2005,113,0.0,0.0,1
7,68,104,0.87542662116,180,106,1.02144249513,R07,2005,106,0.0,0.0,1
0,143,107,1.1640625,73,103,0.829299363057,R08,2005,107,0.0,0.0,0
1,89,111,1.18224299065,128,110,0.883333333333,R08,2005,110,0.0,0.0,1
2,52,115,1.16383307573,88,117,1.40996168582,R08,2005,117,0.0,0.0,1
3,118,118,0.980053191489,92,112,1.02463054187,R08,2005,118,0.0,0.0,0
4,72,102,0.891034482759,63,101,1.10611510791,R08,2005,102,0.0,0.0,0
5,45,113,0.834302325581,69,116,0.891025641026,R08,2005,116,0.0,0.0,1
6,82,106,1.21170395869,117,105,0.799442896936,R08,2005,105,0.0,0.0,1
7,93,114,1.11578947368,58,104,0.758485639687,R08,2005,114,0.0,0.0,0
0,103,101,1.07961783439,57,115,1.09523809524,R09,2005,101,0.0,0.0,0
1,110,111,1.1012987013,92,103,0.780172413793,R09,2005,111,0.0,0.0,0
2,95,117,1.43554006969,118,104,0.743888242142,R09,2005,104,0.0,0.0,1
3,66,105,0.86375,85,113,0.817701453104,R09,2005,113,0.0,0.0,1
4,87,114,1.15491009682,83,102,0.91116751269,R09,2005,114,0.0,0.0,0
5,89,116,0.93423019432,76,118,1.01303317536,R09,2005,116,0.0,0.0,0
6,61,112,0.984869325997,146,107,1.24544179523,R09,2005,107,0.0,0.0,1
7,124,110,0.949265687583,70,106,1.12607449857,R09,2005,110,0.0,0.0,0
0,74,114,1.14392059553,131,111,1.11136890951,R10,2005,111,0.0,0.0,1
1,91,106,1.04136253041,82,107,1.33591731266,R10,2005,106,0.0,0.0,0
2,108,104,0.793501048218,80,110,1.01953601954,R10,2005,104,0.0,0.0,0
3,112,112,0.890034364261,93,102,0.915428571429,R10,2005,112,0.0,0.0,0
4,58,116,0.958389261745,101,115,1.02863961814,R10,2005,115,0.0,0.0,1
5,57,103,0.78612716763,71,101,1.1401459854,R10,2005,101,0.0,0.0,1
6,110,118,0.997856377278,137,105,0.855367231638,R10,2005,105,0.0,0.0,1
7,62,113,0.855407047388,179,117,1.32803468208,R10,2005,117,0.0,0.0,1
0,96,107,1.2901734104,121,104,0.836557059961,R11,2005,104,0.0,0.0,1
1,105,117,1.45623342175,103,114,1.06296691569,R11,2005,117,0.0,0.0,0
2,116,116,0.912529550827,91,103,0.787195671776,R11,2005,116,0.0,0.0,0
