,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
0,117,105,1.0,82,101,1.0,35,R01,2013,105,1.32460447354,1.0004784689,0
1,80,117,1.0,108,106,1.0,28,R01,2013,106,1.15671200473,1.24183729939,1
2,106,114,1.0,101,103,1.0,5,R01,2013,114,1.08,1.11631497684,0
3,59,102,1.0,127,118,1.0,68,R01,2013,118,0.670143415906,0.910133843212,1
4,106,116,1.0,76,109,1.0,30,R01,2013,116,0.461650308979,1.4057704113,0
5,77,115,1.0,90,108,1.0,13,R01,2013,108,0.608222490931,1.23331581713,1
6,133,113,1.0,54,111,1.0,79,R01,2013,113,0.674925245622,0.788712686567,0
7,103,104,1.0,87,112,1.0,16,R01,2013,104,1.12494039103,1.16456390565,0
8,93,107,1.0,86,110,1.0,7,R01,2013,107,1.54587420658,1.17126193001,0
9,99,114,1.0495049505,82,115,0.855555555556,17,R02,2013,114,1.23331581713,1.11631497684,0
10,73,108,1.16883116883,114,116,1.39473684211,41,R02,2013,116,1.4057704113,0.608222490931,1
11,106,106,1.35,78,118,2.15254237288,28,R02,2013,106,0.670143415906,1.15671200473,0
12,96,101,0.700854700855,77,102,0.464566929134,19,R02,2013,101,0.910133843212,1.32460447354,0
13,78,109,0.716981132075,134,113,2.46296296296,56,R02,2013,113,0.788712686567,0.461650308979,1
14,36,111,0.406015037594,184,105,1.42682926829,148,R02,2013,105,1.0004784689,0.674925245622,1
15,108,112,0.844660194175,112,107,1.08139534884,4,R02,2013,107,1.17126193001,1.12494039103,1
16,148,110,0.924731182796,98,117,0.740740740741,50,R02,2013,110,1.24183729939,1.54587420658,0
17,100,103,0.952830188679,117,104,1.18390804598,17,R02,2013,104,1.16456390565,1.08,1
18,72,105,2.55084745763,68,106,1.35443037975,4,R03,2013,105,1.15671200473,1.0004784689,0
19,131,116,1.47651006711,92,112,0.906976744186,39,R03,2013,116,1.12494039103,1.4057704113,0
20,177,117,0.6953125,83,111,0.283911671924,94,R03,2013,117,0.674925245622,1.24183729939,0
21,140,115,0.84126984127,68,109,0.641666666667,72,R03,2013,115,0.461650308979,1.23331581713,0
22,103,103,0.90134529148,119,107,1.05670103093,16,R03,2013,107,1.17126193001,1.08,1
23,94,102,0.609865470852,92,108,0.853403141361,2,R03,2013,102,0.608222490931,0.910133843212,0
24,68,118,1.24242424242,135,114,1.12021857923,67,R03,2013,114,1.11631497684,0.670143415906,1
25,145,110,1.22513089005,90,104,1.17647058824,55,R03,2013,110,1.16456390565,1.54587420658,0
26,109,101,0.917525773196,118,113,2.02272727273,9,R03,2013,113,0.788712686567,1.32460447354,1
27,124,107,1.09090909091,103,116,1.45643153527,21,R04,2013,107,1.4057704113,1.17126193001,0
28,76,106,1.22608695652,118,110,1.3487544484,42,R04,2013,110,1.54587420658,1.15671200473,1
29,113,104,0.933734939759,79,114,1.35458167331,34,R04,2013,104,1.11631497684,1.16456390565,0
30,128,105,2.00537634409,91,115,1.16342412451,37,R04,2013,105,1.23331581713,1.0004784689,0
31,89,103,0.888888888889,65,117,1.04719764012,24,R04,2013,103,1.24183729939,1.08,0
32,104,113,1.59751037344,66,108,0.894736842105,38,R04,2013,113,0.608222490931,0.788712686567,0
33,103,109,0.584210526316,144,111,0.35020242915,41,R04,2013,111,0.674925245622,0.461650308979,1
34,28,118,0.91,80,101,0.919871794872,52,R04,2013,101,1.32460447354,0.670143415906,1
35,62,102,0.730158730159,125,112,0.829479768786,63,R04,2013,112,1.12494039103,0.910133843212,1
36,75,104,1.02919708029,121,105,1.80866425993,46,R05,2013,105,1.0004784689,1.16456390565,1
37,79,116,1.24383561644,63,115,1.01298701299,16,R05,2013,116,1.23331581713,1.4057704113,0
