,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
0,92,111,1.0,94,114,1.0,2,R01,2000,114,0.0,0.0,1
1,62,113,1.0,156,105,1.0,94,R01,2000,105,0.0,0.0,1
2,154,117,1.0,111,112,1.0,43,R01,2000,117,0.0,0.0,0
3,131,118,1.0,108,101,1.0,23,R01,2000,118,0.0,0.0,0
4,129,107,1.0,107,106,1.0,22,R01,2000,107,0.0,0.0,0
5,134,116,1.0,100,115,1.0,34,R01,2000,116,0.0,0.0,0
6,140,104,1.0,86,110,1.0,54,R01,2000,104,0.0,0.0,0
7,112,102,1.0,152,103,1.0,40,R01,2000,103,0.0,0.0,1
8,87,114,1.02173913043,130,105,2.51612903226,43,R02,2000,105,0.0,0.0,1
9,120,112,0.720779220779,145,111,0.978723404255,25,R02,2000,111,0.0,0.0,1
10,99,115,0.746268656716,139,107,1.20560747664,40,R02,2000,107,0.0,0.0,1
11,125,106,0.829457364341,87,113,0.397435897436,38,R02,2000,106,0.0,0.0,0
12,92,101,0.824427480916,103,104,1.62790697674,11,R02,2000,104,0.0,0.0,1
13,112,110,0.614285714286,154,103,1.35714285714,42,R02,2000,103,0.0,0.0,1
14,82,116,1.34,70,117,1.38738738739,12,R02,2000,116,0.0,0.0,0
15,139,102,0.736842105263,110,118,1.21296296296,29,R02,2000,102,0.0,0.0,0
16,170,112,0.772575250836,134,114,0.815315315315,36,R03,2000,112,0.0,0.0,0
17,103,102,0.958015267176,110,110,0.673469387755,7,R03,2000,110,0.0,0.0,1
18,111,107,1.30097087379,100,101,0.854700854701,11,R03,2000,107,0.0,0.0,0
19,116,117,1.16062176166,116,115,0.728937728938,0,R03,2000,100,0.0,0.0,0
20,114,111,1.10747663551,126,116,1.27058823529,12,R03,2000,116,0.0,0.0,1
21,87,103,1.36607142857,160,104,1.36516853933,73,R03,2000,104,0.0,0.0,1
22,94,113,0.53024911032,141,118,0.975708502024,47,R03,2000,118,0.0,0.0,1
23,124,105,1.91946308725,88,106,1.07407407407,36,R03,2000,105,0.0,0.0,0
24,99,107,1.2385620915,104,112,0.926096997691,5,R04,2000,112,0.0,0.0,1
25,59,103,1.0234375,98,118,1.12023460411,39,R04,2000,118,0.0,0.0,1
26,137,105,1.72995780591,90,110,0.775818639798,47,R04,2000,105,0.0,0.0,0
27,106,104,1.52075471698,101,116,1.20422535211,5,R04,2000,104,0.0,0.0,0
28,73,101,0.869565217391,187,117,1.1003236246,114,R04,2000,117,0.0,0.0,1
29,106,102,0.951612903226,149,113,0.575829383886,43,R04,2000,113,0.0,0.0,1
30,88,106,0.941176470588,87,114,0.803571428571,1,R04,2000,106,0.0,0.0,0
31,75,115,0.809768637532,165,111,1.03235294118,90,R04,2000,111,0.0,0.0,1
32,118,104,1.39071038251,110,118,1.2,8,R05,2000,104,0.0,0.0,0
33,99,103,0.9377593361,123,105,1.67278287462,24,R05,2000,105,0.0,0.0,1
34,92,101,0.701127819549,122,102,0.882917466411,30,R05,2000,102,0.0,0.0,1
35,106,111,1.24337349398,75,106,0.955503512881,31,R05,2000,111,0.0,0.0,0
36,81,117,1.37958115183,162,107,1.16585365854,81,R05,2000,107,0.0,0.0,1
37,120,116,1.1358974359,128,112,0.949248120301,8,R05,2000,112,0.0,0.0,1
38,110,114,0.8375,84,115,0.703971119134,26,R05,2000,114,0.0,0.0,0
39,113,110,0.74531835206,74,113,0.742424242424,39,R05,2000,110,0.0,0.0,0
40,144,105,1.57276995305,81,118,1.138996139,63,R06,2000,105,0.0,0.0,0
41,114,112,0.970858895706,82,104,1.31722689076,32,R06,2000,112,0.0,0.0,0
42,78,113,0.726989079563,169,103,0.910743801653,91,R06,2000,103,0.0,0.0,1
43,61,106,0.906191369606,178,117,1.11764705882,117,R06,2000,117,0.0,0.0,1
44,105,102,0.94942903752,66,115,0.713855421687,39,R06,2000,102,0.0,0.0,0
45,84,111,1.2693877551,109,107,1.30346232179,25,R06,2000,107,0.0,0.0,1
46,112,114,0.90780141844,106,116,1.08687258687,6,R06,2000,114,0.0,0.0,0
47,57,110,0.840460526316,143,101,0.711009174312,86,R06,2000,101,0.0,0.0,1
48,92,118,1.01359516616,123,110,0.756324900133,31,R07,2000,110,0.0,0.0,1
49,129,112,1.01771117166,117,115,0.702210663199,12,R07,2000,112,0.0,0.0,0
50,108,107,1.30260869565,99,116,1.0619047619,9,R07,2000,107,0.0,0.0,0
51,98,101,0.855133614627,91,113,0.671604938272,7,R07,2000,101,0.0,0.0,0
52,77,117,1.29917355372,138,111,1.17863105175,61,R07,2000,111,0.0,0.0,1
53,120,103,1.0541727672,69,114,0.931343283582,51,R07,2000,103,0.0,0.0,0
54,100,102,1.0117820324,111,106,0.76511954993,11,R07,2000,106,0.0,0.0,1
55,140,105,1.60552268245,100,104,1.20169491525,40,R07,2000,105,0.0,0.0,0
56,128,110,0.819691577699,67,112,1.02937720329,61,R08,2000,110,0.0,0.0,0
57,108,101,0.88029925187,68,115,0.731625835189,40,R08,2000,101,0.0,0.0,0
58,102,118,0.971974522293,108,117,1.16150740242,6,R08,2000,117,0.0,0.0,1
59,111,111,1.24852071006,86,113,0.699339207048,25,R08,2000,111,0.0,0.0,0
60,64,116,1.0406504065,109,103,1.1170212766,45,R08,2000,103,0.0,0.0,1
61,147,114,0.877215189873,77,107,1.27151335312,70,R08,2000,114,0.0,0.0,0
62,107,106,0.807644882861,85,104,1.10821917808,22,R08,2000,106,0.0,0.0,0
63,127,105,1.57166392092,63,102,0.996202531646,64,R08,2000,105,0.0,0.0,0
64,104,115,0.720675944334,105,118,0.968645016797,1,R09,2000,118,0.0,0.0,1
65,73,107,1.13763702801,98,110,0.9,25,R09,2000,110,0.0,0.0,1
66,128,112,0.963227783453,125,101,0.935632183908,3,R09,2000,112,0.0,0.0,0
67,70,117,1.14911242604,79,114,0.968858131488,9,R09,2000,114,0.0,0.0,1
68,147,103,1.16299019608,82,106,0.850446428571,65,R09,2000,103,0.0,0.0,0
69,106,105,1.61343283582,93,111,1.2532808399,13,R09,2000,105,0.0,0.0,0
70,85,113,0.70755642787,111,116,0.982290436836,26,R09,2000,116,0.0,0.0,1
71,117,104,1.06810035842,146,102,0.92693565976,29,R09,2000,102,0.0,0.0,1
72,88,110,0.932858596134,118,117,1.12662337662,30,R10,2000,117,0.0,0.0,1
73,54,104,1.02848423194,102,114,0.980789754536,48,R10,2000,114,0.0,0.0,1
74,78,107,1.0957562568,78,113,0.713274336283,0,R10,2000,100,0.0,0.0,0
75,109,103,1.22048997773,82,115,0.746174617462,27,R10,2000,103,0.0,0.0,0
76,60,106,0.8092042186,148,112,0.970108695652,88,R10,2000,112,0.0,0.0,1
77,84,101,0.940881763527,132,105,1.55570117955,48,R10,2000,105,0.0,0.0,1
78,79,116,1.01180257511,137,118,0.972918756269,58,R10,2000,118,0.0,0.0,1
79,84,102,0.963249516441,102,111,1.20737327189,18,R10,2000,111,0.0,0.0,1
80,55,113,0.73178807947,117,115,0.746721311475,62,R11,2000,115,0.0,0.0,1
81,99,112,1.04725085911,129,103,1.22959183673,30,R11,2000,103,0.0,0.0,1
