mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2000_EF_107_110,2000,EF,107,110,a,h,2000-08-11 19:45,Docklands,44709,9,92,110,h,83,a,107,110,92,4,6,11,14,0,2,3,5,8,0,107,83,3,6,9,12,0,4,5,9,11,0
2000_QF_105_112,2000,QF,105,112,h,a,2000-08-12 14:30,M.C.G.,68443,125,198,105,h,73,a,112,105,198,9,15,25,31,0,1,6,9,12,0,112,73,4,6,9,11,0,2,3,4,7,0
2000_EF_102_118,2000,EF,102,118,h,a,2000-08-12 19:45,Gabba,25925,34,110,102,h,76,a,118,102,110,3,7,11,15,0,6,10,15,20,0,118,76,3,5,7,10,0,3,7,13,16,0
2000_QF_103_111,2000,QF,103,111,a,h,2000-08-13 14:30,M.C.G.,75570,9,96,111,h,87,a,103,111,96,3,6,8,15,0,4,4,5,6,0,103,87,4,8,10,12,0,4,8,14,15,0
2000_SF_110_112,2000,SF,110,112,a,h,2000-08-18 19:45,M.C.G.,50027,10,110,112,h,100,a,110,112,110,6,10,12,16,0,1,7,11,14,0,110,100,2,5,9,15,0,2,3,7,10,0
2000_SF_102_103,2000,SF,102,103,a,h,2000-08-19 14:30,M.C.G.,56924,82,151,103,h,69,a,102,103,151,3,10,18,23,0,3,5,9,13,0,102,69,3,4,9,10,0,1,4,4,9,0
2000_PF_111_112,2000,PF,111,112,h,a,2000-08-25 19:45,M.C.G.,63937,50,156,111,h,106,a,112,111,156,6,14,18,23,0,5,10,14,18,0,112,106,5,9,10,17,0,1,1,4,4,0
2000_PF_103_105,2000,PF,103,105,a,h,2000-08-26 14:30,M.C.G.,84778,45,125,105,h,80,a,103,105,125,4,8,14,18,0,2,7,13,17,0,103,80,2,5,6,12,0,3,4,7,8,0
2000_GF_105_111,2000,GF,105,111,h,a,2000-09-02 14:45,M.C.G.,96249,60,135,105,h,75,a,111,105,135,4,10,16,19,0,8,16,17,21,0,111,75,3,5,8,11,0,3,5,8,9,0
2001_QF_105_114,2001,QF,105,114,h,a,2001-09-07 19:45,M.C.G.,78253,70,113,105,h,43,a,114,105,113,4,8,12,17,0,5,5,8,11,0,114,43,1,2,4,5,0,4,7,10,13,0
2001_EF_101_103,2001,EF,101,103,a,h,2001-09-08 14:30,M.C.G.,53982,68,118,103,h,50,a,101,103,118,5,10,12,17,0,4,8,12,16,0,101,50,1,3,5,6,0,6,6,10,14,0
2001_QF_102_113,2001,QF,102,113,h,a,2001-09-08 19:45,Gabba,32380,32,88,102,h,56,a,113,102,88,1,3,8,12,0,6,9,14,16,0,113,56,2,7,8,8,0,0,1,3,8,0
2001_EF_110_116,2001,EF,110,116,h,a,2001-09-09 14:30,Docklands,32910,55,129,110,h,74,a,116,110,129,1,5,11,19,0,0,4,9,15,0,116,74,4,6,7,11,0,1,3,5,8,0
2001_SF_103_114,2001,SF,103,114,a,h,2001-09-15 14:30,M.C.G.,83323,11,67,114,h,56,a,103,114,67,2,6,9,10,0,5,7,7,7,0,103,56,0,5,6,7,0,2,5,10,14,0
2001_SF_110_113,2001,SF,110,113,h,a,2001-09-15 19:15,Football Park,30613,3,72,110,h,69,a,113,110,72,1,4,5,10,0,1,6,8,12,0,113,69,3,4,8,10,0,1,5,7,9,0
2001_PF_105_110,2001,PF,105,110,h,a,2001-09-22 14:30,M.C.G.,86468,9,76,105,h,67,a,110,105,76,4,8,8,11,0,2,7,8,10,0,110,67,2,2,5,9,0,6,7,11,13,0
