mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_q1b,h_q2b,h_q3b,h_q4b,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_q1b,a_q2b,a_q3b,a_q4b
2000_R01_111_114,2000,R01,111,114,a,h,2000-03-08 19:40,M.C.G.,41648,2,94,114,h,92,a,111,114,94,7,11,14,14,1,6,7,10,111,92,4,6,10,13,3,6,9,14
2000_R01_105_113,2000,R01,105,113,h,a,2000-03-09 20:15,Docklands,43012,94,156,105,h,62,a,113,105,156,4,11,17,24,4,5,7,12,113,62,0,2,6,8,3,8,13,14
2000_R01_112_117,2000,R01,112,117,h,a,2000-03-10 19:40,M.C.G.,20580,43,154,117,a,111,h,112,112,111,3,9,12,16,4,7,11,15,117,154,6,17,22,24,0,4,7,10
2000_R01_101_118,2000,R01,101,118,h,a,2000-03-11 14:50,Football Park,37222,23,131,118,a,108,h,101,101,108,3,9,11,15,2,11,13,18,118,131,7,8,14,19,6,7,15,17
2000_R01_106_107,2000,R01,106,107,h,a,2000-03-11 17:40,Subiaco,19777,22,129,107,a,107,h,106,106,107,4,9,10,16,4,5,9,11,107,129,3,7,11,19,3,7,11,15
2000_R01_115_116,2000,R01,115,116,h,a,2000-03-12 19:40,Docklands,31440,34,134,116,a,100,h,115,115,100,2,8,10,15,3,5,8,10,116,134,4,7,15,21,2,5,8,8
2000_R01_104_110,2000,R01,104,110,a,h,2000-03-13 14:10,M.C.G.,53776,54,140,104,a,86,h,110,110,86,2,5,11,13,5,6,7,8,104,140,5,10,17,20,1,9,14,20
2000_R01_102_103,2000,R01,102,103,a,h,2000-03-13 14:10,Princes Park,22374,40,152,103,h,112,a,102,103,152,5,11,17,22,2,8,16,20,102,112,3,7,11,16,10,11,13,16
2000_R02_105_114,2000,R02,105,114,h,a,2000-03-16 19:40,M.C.G.,49521,43,130,105,h,87,a,114,105,130,5,10,15,20,4,7,7,10,114,87,1,4,9,12,5,10,12,15
2000_R02_111_112,2000,R02,111,112,h,a,2000-03-17 19:40,M.C.G.,23348,25,145,111,h,120,a,112,111,145,7,13,18,23,0,2,4,7,112,120,3,8,13,17,8,13,15,18
2000_R02_107_115,2000,R02,107,115,h,a,2000-03-18 14:10,Kardinia Park,20476,40,139,107,h,99,a,115,107,139,7,11,15,21,4,7,13,13,115,99,4,10,13,15,0,1,7,9
2000_R02_106_113,2000,R02,106,113,a,h,2000-03-18 19:10,Football Park,24695,38,125,106,a,87,h,113,113,87,3,7,9,12,5,9,13,15,106,125,3,10,14,19,2,5,8,11
2000_R02_101_104,2000,R02,101,104,a,h,2000-03-19 14:10,M.C.G.,33076,11,103,104,h,92,a,101,104,103,5,7,10,14,5,10,14,19,101,92,6,10,12,13,1,3,9,14
2000_R02_103_110,2000,R02,103,110,h,a,2000-03-19 14:10,Princes Park,21161,42,154,103,h,112,a,110,103,154,5,13,16,22,3,10,19,22,110,112,4,6,12,18,1,3,4,4
2000_R02_116_117,2000,R02,116,117,a,h,2000-03-19 17:40,Subiaco,38127,12,82,116,a,70,h,117,117,70,2,7,8,10,2,5,6,10,116,82,2,7,10,12,5,6,9,10
2000_R02_102_118,2000,R02,102,118,a,h,2000-03-19 19:40,Docklands,24460,29,139,102,a,110,h,118,118,110,7,9,12,17,2,5,8,8,102,139,2,10,13,21,2,5,10,13
2000_R03_112_114,2000,R03,112,114,a,h,2000-03-24 19:40,M.C.G.,37543,36,170,112,a,134,h,114,114,134,6,13,19,20,2,3,7,14,112,170,7,15,20,27,3,5,7,8
2000_R03_102_110,2000,R03,102,110,a,h,2000-03-25 14:10,M.C.G.,20374,7,110,110,h,103,a,102,110,110,6,8,11,16,4,9,12,14,102,103,3,10,13,15,3,9,12,13
2000_R03_101_107,2000,R03,101,107,h,a,2000-03-25 19:10,Football Park,39179,11,111,107,a,100,h,101,101,100,4,6,10,14,3,7,12,16,107,111,4,8,14,17,4,6,7,9
2000_R03_115_117,2000,R03,115,117,h,a,2000-03-25 19:40,Docklands,21215,0,116,100,d,116,d,100,115,116,5,10,12,18,0,2,3,8,117,116,4,7,13,17,6,7,12,14
2000_R03_111_116,2000,R03,111,116,a,h,2000-03-26 14:10,S.C.G.,26920,12,126,116,h,114,a,111,116,126,6,12,18,19,3,6,9,12,111,114,5,8,12,17,4,5,10,12
2000_R03_103_104,2000,R03,103,104,a,h,2000-03-26 14:10,M.C.G.,82669,73,160,104,h,87,a,103,104,160,7,14,18,24,3,7,12,16,103,87,4,6,6,11,5,10,14,21
2000_R03_113_118,2000,R03,113,118,a,h,2000-03-26 14:10,Docklands,18134,47,141,118,h,94,a,113,118,141,2,12,19,22,2,4,6,9,113,94,4,5,10,14,2,5,7,10
2000_R03_105_106,2000,R03,105,106,a,h,2000-03-26 18:40,Subiaco,27230,36,124,105,a,88,h,106,106,88,2,4,9,12,5,10,13,16,105,124,5,10,16,19,1,4,7,10
2000_R04_107_112,2000,R04,107,112,a,h,2000-03-31 19:40,Docklands,34623,5,104,112,h,99,a,107,112,104,4,7,13,15,1,5,8,14,107,99,5,8,10,15,2,5,6,9
2000_R04_103_118,2000,R04,103,118,a,h,2000-04-01 14:10,Docklands,30576,39,98,118,h,59,a,103,118,98,6,10,12,14,6,7,9,14,103,59,3,5,7,8,2,3,8,11
2000_R04_105_110,2000,R04,105,110,a,h,2000-04-01 14:10,M.C.G.,46889,47,137,105,a,90,h,110,110,90,2,7,11,14,0,3,3,6,105,137,6,10,15,20,3,6,14,17
2000_R04_104_116,2000,R04,104,116,a,h,2000-04-01 19:40,S.C.G.,34687,5,106,104,a,101,h,116,116,101,3,7,12,15,2,6,9,11,104,106,3,7,12,15,3,6,9,16
2000_R04_101_117,2000,R04,101,117,a,h,2000-04-01 20:10,W.A.C.A.,26008,114,187,117,h,73,a,101,117,187,4,13,22,29,3,5,9,13,101,73,2,4,6,10,4,6,8,13
2000_R04_102_113,2000,R04,102,113,a,h,2000-04-02 13:40,Football Park,24458,43,149,113,h,106,a,102,113,149,4,10,16,23,4,7,9,11,102,106,3,8,9,15,3,6,13,16
2000_R04_106_114,2000,R04,106,114,a,h,2000-04-02 14:10,Docklands,23578,1,88,106,a,87,h,114,114,87,1,5,10,13,1,2,6,9,106,88,5,7,8,12,4,10,14,16
2000_R04_111_115,2000,R04,111,115,h,a,2000-04-02 14:10,M.C.G.,31642,90,165,111,h,75,a,115,111,165,2,9,16,25,4,6,11,15,115,75,4,6,9,11,2,6,7,9
2000_R05_104_118,2000,R05,104,118,a,h,2000-04-07 19:40,Docklands,45141,8,118,104,a,110,h,118,118,110,3,5,12,16,3,6,9,14,104,118,5,10,12,17,4,8,10,16
2000_R05_103_105,2000,R05,103,105,a,h,2000-04-08 14:10,M.C.G.,64658,24,123,105,h,99,a,103,105,123,5,10,16,18,6,8,12,15,103,99,1,3,8,15,2,6,7,9
2000_R05_101_102,2000,R05,101,102,a,h,2000-04-08 19:40,Gabba,26395,30,122,102,h,92,a,101,102,122,5,8,13,17,5,13,17,20,101,92,3,9,11,13,1,5,9,14
2000_R05_106_111,2000,R05,106,111,h,a,2000-04-08 20:10,W.A.C.A.,20484,31,106,111,a,75,h,106,106,75,5,6,8,10,3,10,13,15,111,106,1,4,10,14,3,11,15,22
2000_R05_107_117,2000,R05,107,117,h,a,2000-04-09 14:10,Kardinia Park,22623,81,162,107,h,81,a,117,107,162,4,11,15,24,3,6,15,18,117,81,1,6,7,11,6,8,12,15
2000_R05_112_116,2000,R05,112,116,h,a,2000-04-09 14:10,S.C.G.,19306,8,128,112,h,120,a,116,112,128,4,8,16,19,2,6,10,14,116,120,5,10,14,18,5,9,10,12
2000_R05_114_115,2000,R05,114,115,a,h,2000-04-09 14:10,Docklands,26374,26,110,114,a,84,h,115,115,84,2,9,11,11,4,7,12,18,114,110,3,5,12,17,1,3,7,8
2000_R05_110_113,2000,R05,110,113,a,h,2000-04-09 20:10,Football Park,22086,39,113,110,a,74,h,113,113,74,2,6,7,10,4,7,10,14,110,113,4,8,11,16,6,9,14,17
2000_R06_105_118,2000,R06,105,118,a,h,2000-04-14 19:40,Docklands,42029,63,144,105,a,81,h,118,118,81,1,4,7,12,3,4,7,9,105,144,6,9,12,22,5,8,12,12
2000_R06_104_112,2000,R06,104,112,h,a,2000-04-15 14:10,M.C.G.,55802,32,114,112,a,82,h,104,104,82,2,2,6,11,5,9,11,16,112,114,3,7,13,17,3,5,8,12
2000_R06_103_113,2000,R06,103,113,h,a,2000-04-15 14:10,Princes Park,16415,91,169,103,h,78,a,113,103,169,6,13,23,26,2,7,11,13,113,78,3,6,8,12,3,3,3,6
2000_R06_106_117,2000,R06,106,117,a,h,2000-04-15 18:40,Subiaco,40519,117,178,117,h,61,a,106,117,178,5,11,19,28,3,4,9,10,106,61,3,4,6,9,0,3,5,7
2000_R06_102_115,2000,R06,102,115,a,h,2000-04-15 19:40,Docklands,18194,39,105,102,a,66,h,115,115,66,1,4,8,9,3,7,9,12,102,105,6,9,11,15,4,8,11,15
2000_R06_107_111,2000,R06,107,111,h,a,2000-04-16 14:10,Kardinia Park,26761,25,109,107,h,84,a,111,107,109,3,6,11,15,6,12,16,19,111,84,3,6,7,12,2,5,6,12
2000_R06_114_116,2000,R06,114,116,a,h,2000-04-16 14:40,S.C.G.,25049,6,112,114,a,106,h,116,116,106,5,10,11,16,4,6,9,10,114,112,5,9,14,17,4,6,9,10
